"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
28382160,"PT","PT1","PT11","PT11D",c(-7.722229895, 40.96569098)
28382268,"ES","ES1","ES11","ES113",c(-8.002371094, 41.91121174)
28382290,"ES","ES1","ES11","ES113",c(-8.060886597, 42.10356116)
28382362,"ES","ES1","ES11","ES114",c(-8.255945099, 42.73245975)
28401816,"ES","ES6","ES61","ES615",c(-6.880513824, 37.9440587)
28401842,"ES","ES6","ES61","ES615",c(-6.938777734, 38.17350023)
28401924,"PT","PT1","PT18","PT186",c(-7.126242075, 38.89632325)
28402054,"PT","PT1","PT16","PT16J",c(-7.435441499, 40.03978223)
28402306,"ES","ES1","ES11","ES113",c(-8.080119232, 42.24770771)
28402378,"ES","ES1","ES11","ES111",c(-8.276175142, 42.87645195)
28421754,"ES","ES6","ES61","ES615",c(-6.721746631, 37.40037811)
28422060,"PT","PT1","PT16","PT16J",c(-7.427181944, 40.09661889)
28422114,"PT","PT1","PT16","PT16J",c(-7.560283456, 40.57068109)
